"","text"
"109","Presidente de la @AsambleaSV Lic @marioponcesv demuestre que esta a favor del pueblo salvadoreño, permita el acceso a nuestra gente abran el segundo porton, es nuestro derecho constitucional.

¿Vamos que espera ? 
#Presupuesto2020YA https://t.co/bWXqzoMSTo"
"110","@romeoauerbach Que envidia, pero de la buena<U+0001F600> #Presupuesto2020Ya 
#Presupuesto2020Ya"
"111","Es Momento del Poder Popular

#Presupuesto2020Ya https://t.co/FQ8C12mXjG"
"112","#PRESUPUESTO2020YA https://t.co/cMXozva6fp"
"113","#PRESUPUESTO2020YA 

Compartan el Hastack!!!!!!!! https://t.co/UTFiw86Odu"
"114","La Historia y el Pueblo Salvadoreño  no Olvidara esta Traición del FMLN 

#Presupuesto2020Ya https://t.co/yplLw1LKhn"
"115","#PRESUPUESTO2020YA https://t.co/whiGwF3wHG"
"116","#Presupuesto2020Ya https://t.co/4WNJCewwgL"
"117","#Presupuesto2020Ya https://t.co/xFvufPxE0B"
"118","@JoseNavarroSV @nayibbukele Ladrones ,delincuentes ,vividores ambiciosos #PRESUPUESTO2020YA"
"119","#NoALos22MillonesDePublicidad...
#PRESUPUESTO2020YA"
"120","@fulloa51 @AsambleaSV @nayibbukele Por  favor vice presidente @fulloa51  ayude al pueblo que sea escuchado en la asamblea,  no pueden estar bloqueando la entrada a https://t.co/Xh6e5Nc4l3 del pueblo @AsambleaSV  #PRESUPUESTO2020YA"
"121","@AlexisJuarezSV @waraujo64 @LaPagina #PRESUPUESTO2020YA https://t.co/Sf8tMbzGPI"
"122","TRAIDORES!!!
#Presupuesto2020YA https://t.co/QukEKrA5O4"
"123","#PRESUPUESTO2020YA El pueblo se los ordena https://t.co/jp90KgDpHh"
"124","Son una vergüenza semejantes, Corruptos y TRAIDORES!!!#NoJodan
#PRESUPUESTO2020YA https://t.co/jEFMV5iFBZ"
"125","Solidaridad de la diaspora, así es<U+0001F44F><U+0001F44F>
#PRESUPUESTO2020YA 
#NoNosmoveran https://t.co/KFn2pq75KT"
"126","Estamos con ustedes!!!Si se puede..
#PRESUPUESTO2020YA ,#NoNosmoveran https://t.co/JXk6mv4afr"
"127","El Jefe Pueblo entrando..
#PRESUPUESTO2020YA #EstamosconUstedes https://t.co/xW4esLuOMQ"
"128","#PRESUPUESTO2020YA https://t.co/o6hucBYmiP"
"129","@VeritoEsme_NI @FMLNoficial @FMLNoficial dándose una importancia muy lejos de tenerla ,solo firmen y ya 
#PRESUPUESTO2020YA"
"130","@pinedaboris @waraujo64 @nayibbukele No joda don @pinedaboris! Cuando leí 40 días para 40 años, casi me da el patatús!Como es eso que yo estuviera más vetarra que usted <U+0001F640>. Pero son 40 años de no manifestarse <U+0001F644><U+0001F44F>
Adelante con bastón y todo a darles por donde les caiga para hacerlos entender #Presupuesto2020Ya"
"131","@geovanigaleas1 @waraujo64 @romeoauerbach  están con el pueblo. Para cuando los de la @AsambleaSV ? Le han cerrado la puerta a sus patrones, cuando entenderán que queremos #presupuesto2020ya 
#presupuesto2020ya #presupuesto2020ya #presupuesto2020ya #presupuesto2020ya https://t.co/4HfvGVeGqH"
"132","Vayan a darle verga a los diputados! #presupuesto2020ya https://t.co/XkHcVcw3WN"
"133","La Diáspora apoyando al Presidente @nayibbukele 
#Presupuesto2020YA
<U+0001F44A><U+0001F3FB><U+0001F44A><U+0001F3FB><U+0001F1F8><U+0001F1FB><U+0001F1F8><U+0001F1FB> https://t.co/VjabmQJaA4"
"134","<U+0001F1F8><U+0001F1FB><U+0001F44A><U+0001F3FB><U+0001F1F8><U+0001F1FB><U+0001F499><U+0001F499>
#PRESUPUESTO2020YA https://t.co/MQqgKQlych"
"135","#Presupuesto2020Ya
<U+0001F1F8><U+0001F1FB><U+0001F44A><U+0001F3FB><U+0001F1F8><U+0001F1FB> https://t.co/NBusksIhsW"
"136","<U+0001F1F8><U+0001F1FB><U+0001F44A><U+0001F3FB><U+0001F1F8><U+0001F1FB>
#PRESUPUESTO2020YA https://t.co/MvgtoINDu2"
"137","<U+0001F44A><U+0001F3FB><U+0001F4A5><U+0001F1F8><U+0001F1FB><U+0001F44A><U+0001F3FB> #DIASPORA 
#PRESUPUESTO2020YA https://t.co/OaR7NEWdAn"
"138","@AsambleaSV @marioponcesv
<U+2714><U+FE0F> SALARIO
<U+2714><U+FE0F>AGUINALDO
<U+2714><U+FE0F>BONO NAVIDEÑO 

¡EL PUEBLO EXIGIMOS NUESTRO #PRESUPUESTO2020YA !
@nayibbukele https://t.co/D06TKaPAHB https://t.co/EKvbV4yhMi"
"139","El poder soberano reside en el pueblo. #Diaspora<U+0001F44A><U+0001F3FB><U+0001F1F8><U+0001F1FB>

De camino a la @AsambleaSV 
#PRESUPUESTO2020YA 
@nayibbukele https://t.co/rzVg4veCob"
"140","@OscarMachon @emilio_coreaES @marioponcesv @AsambleaSV @ElMundoSV No pues WOW... 
#PRESUPUESTO2020YA"
"141","@Tita_Batres @ARENAfraccion #PRESUPUESTO2020YA"
"142","Dios mío, como es posible que esta gente se tome descansos cuando hay temas tan importantes, Aprueben el #PRESUPUESTO2020YA no sean haraganes https://t.co/ravKAXswFa"
"143","Los diputados deben aprobar el #Presupuesto2020Ya el pueblo es el jefe no las cúpulas de ARENA y el FMLN, #AprietenElBotón https://t.co/rxILXFgnfB"
"144","#Presupuesto2020YA https://t.co/oHE0s2hs9f"
"145","#PRESUPUESTO2020YA https://t.co/DGpl8Iviku"
"146","No nos pueden negar el derecho a disfrutar de una vida sin violencia, con seguridad. El gobierno de @nayibbukele ha reducido los homicidios. #AprietenElBotón y aprueben el #Presupuesto2020Ya https://t.co/k6IPwQLedm"
"147","@elsalvadorcom @AsambleaSV Esto es inaceptable y así se atreven a cobrar bonos y agüinaldos. Son unos corruptos Dejen de jugar y aprueben el #PRESUPUESTO2020YA"
"148","Tuvieron el #Presupuesto2020 por 2 meses, la gente está asqueada de ustedes diputados. Aprueben el #Presupuesto2020Ya https://t.co/CaHB3Z62JS"
"149","Para el pueblo nada es imposible, los diputados deben aprobar el #Presupuesto2020YA, es un suicidio político no escucharnos. Diputados, sirvan al pueblo y #AprietenElBotón https://t.co/zXL1LTwrzk"
"150","@jam_manza @AsambleaSV @nayibbukele @bukele @sociedadcivilsv @EdwinRSV @WalterAleman8 @waraujo64 @NuevasIdeasSV Aleluya nuestra pueblo es grande bendiciones a presionar a esos impresentables #PRESUPUESTO2020YA"
"151","#PRESUPUESTO2020YA"
"152","Diputados de la @AsambleaSV retomó la frase que puso una persona en uno de los carteles.
""EL PUEBLO LES DIO EL PODER Y EL PUEBLO SE LOS PUEDE QUITAR""
#PRESUPUESTO2020YA
#87YA"
"153","@emilio_coreaES No al bono de los diputados.
Aprueben el #PRESUPUESTO2020YA"
"154","#Presupuesto2020 
#PRESUPUESTO2020YA 
#PresupuestoYA https://t.co/4teENvUxNn"
"155","@AsambleaSV #PRESUPUESTO2020YA https://t.co/Yp4rlJyILS"
"156","#PRESUPUESTO2020YA @AsambleaSV https://t.co/KEQYgRGDju"
"157","Empezamos este día junto al pueblo salvadoreño que se hizo presente a exigir se apruebe el #PRESUPUESTO2020YA y mis colegas de fracción @SoniaLopezGANA @LourdesVigilAlt @GGallegos24 
@GANAOFICIAL estamos listos para votar! https://t.co/L80aAr5HEf"
"158","¡¡Haraganes!! Pónganse a trabajar y #AprietenElBoton #Presupuesto2020Ya https://t.co/YiNhOfwcLd"
"159","@Mrelegantesv <U+0001F923><U+0001F602><U+0001F923><U+0001F602><U+0001F60E><U+0001F64F><U+0001F3FB>#PRESUPUESTO2020YA"
"160","@gore_full Que todo sea al favor del pueblo #PRESUPUESTO2020YA <U+0001F1F8><U+0001F1FB><U+0001F64F>"
"161","No solo está en juego #PlazaParaTodos. Es el presupuesto de toda la nación tíos joderr que no es cualquier cosa. #PRESUPUESTO2020YA"
"162","Si se aprueba hoy. Celebraremos en el almuerzo con los panas.
#PRESUPUESTO2020YA"
"163","@emilio_coreaES No al bono de las ratas #PRESUPUESTO2020YA"
"164","#PRESUPUESTO2020YA @AsambleaSV"
"165","Pendiente del Canal Legislativo, asi de atentos estamos a los movimientos de los diputados, cuidadito con seguir el bloqueo al #Presupuesto2020 #PRESUPUESTO2020YA"
"166","#PRESUPUESTO2020YA https://t.co/aok93KXbU1"
"167","#PRESUPUESTO2020YA https://t.co/FIaPqUDg65"
"168","#Presupuesto2020YA https://t.co/laQhiAELFU"
"169","#PRESUPUESTO2020YA #PresupuestoYA MALDITAS RATAS de la DESHONORABLE @AsambleaSV https://t.co/YLGvIdKrOi"
"170","@marioponcesv @nayibbukele Sí verdaderamente está con el pueblo debería de salir y frutales #PRESUPUESTO2020YA"
